mention	count	valid_range
14306 detroit	179	YES
14312 detroit	177	YES
229 and	173	SUSPECT
12400 madison	138	YES
215 and	123	SUSPECT
219 and	122	SUSPECT
13900 detroit	121	YES
14300 detroit	121	YES
12506 edgewater	119	YES
1341 marlowe	117	YES
224 and	114	SUSPECT
211 i	110	SUSPECT
211 and	108	SUSPECT
217 and	99	SUSPECT
205 and	88	SUSPECT
212 and	87	SUSPECT
11820 edgewater	83	YES
213 and	82	SUSPECT
222 and	82	SUSPECT
12900 lake	82	YES
216 and	79	SUSPECT
211 traffic	77	SUSPECT
211 i'm	74	SUSPECT
13315 detroit	72	YES
214 and	71	SUSPECT
14701 detroit	69	YES
12511 clifton	67	YES
226 and	62	SUSPECT
14401 detroit	60	YES
211 copy	59	SUSPECT
1346 cove	58	YES
1381 bunts	57	YES
13330 detroit	57	YES
1277 cove	56	YES
205 we're	56	SUSPECT
211 can	56	SUSPECT
104 thank	56	SUSPECT
117 in	54	SUSPECT
203 i'll	52	SUSPECT
11839 edgewater	52	YES
11701 detroit	51	YES
12700 lake	49	YES
221 and	49	SUSPECT
202 can	48	SUSPECT
11850 edgewater	44	YES
225 and	44	SUSPECT
202 and	42	SUSPECT
209 and	42	SUSPECT
12019 lake	42	YES
11839 clifton	41	YES
220 and	41	SUSPECT
227 and	40	SUSPECT
000 off	40	SUSPECT
117 for	39	SUSPECT
12650 detroit	39	YES
211 211	38	SUSPECT
215 traffic	38	SUSPECT
211 i'll	37	SUSPECT
209 i'm	37	SUSPECT
117 just	37	SUSPECT
117 to	36	SUSPECT
207 and	36	SUSPECT
203 can	35	SUSPECT
203 and	35	SUSPECT
11855 edgewater	35	YES
212 can	34	SUSPECT
14532 lake	34	YES
220 i	33	SUSPECT
1600 west	33	YES
229 i'm	33	SUSPECT
11849 clifton	32	YES
117 franklin	32	SUSPECT
104 and	32	SUSPECT
202 i'll	31	SUSPECT
211 you	30	SUSPECT
229 can	30	SUSPECT
1480 warren	30	YES
218 and	30	SUSPECT
12500 edgewater	30	YES
217 i	29	SUSPECT
205 traffic	29	SUSPECT
117 madison	29	SUSPECT
205 can	29	SUSPECT
18915 detroit	29	YES
225 225	29	SUSPECT
117 from	28	SUSPECT
211 we'll	28	SUSPECT
000 building	28	SUSPECT
2026 see	28	YES
12943 clifton	28	YES
208 and	27	SUSPECT
104 thanks	27	SUSPECT
2026 gmc	27	YES
203 i'm	26	SUSPECT
1430 west	26	YES
14600 detroit	26	YES
218 can	26	SUSPECT
11811 lake	26	YES
201 and	26	SUSPECT
12009 clifton	26	YES
211 we're	25	SUSPECT
209 traffic	25	SUSPECT
221 i	25	SUSPECT
117 and	25	SUSPECT
117 south	25	SUSPECT
15425 detroit	24	YES
13302 detroit	24	YES
14567 madison	24	YES
203 i	24	SUSPECT
222 can	24	SUSPECT
219 can	24	SUSPECT
15601 madison	24	YES
104 i	24	SUSPECT
215 can	23	SUSPECT
212 i'm	23	SUSPECT
202 i	23	SUSPECT
104 can	23	SUSPECT
