trigram	count
year old male	2219
going to be	2161
year old female	1729
back in service	1656
we'll be 10-8	1405
valid no wants	1330
in front of	1283
i'll be out	1282
medic 3 is	1241
dispatch medic 3	1158
i'm going to	1075
en route to	1063
i'll be 10-8	1057
you can go	1056
medic 1 medic	773
dispatch medic 1	761
if you could	754
date of birth	741
is en route	726
we're going to	721
is going to	711
out of the	705
medic 1 is	693
out of cleveland	684
be out with	657
copy thank you	651
medic 2 is	610
if you can	591
in the area	589
is back in	588
can you check	580
i have a	568
you can disregard	561
attention all companies	553
respond to the	533
dispatch from medic	513
be en route	508
i'm all set	507
24 i'm closer	499
is on scene	494
dispatch medic 2	473
the parking lot	470
medic 3 respond	465
dispatch from car	453
front of the	450
in a second	448
you all set	444
from car 2	440
engine 3 is	427
give me a	426
are you all	425
old male valid	420
is in service	420
all companies medic	419
back in the	418
1 respond to	413
i can get	411
car 2 engine	408
3 medic 3	406
3 respond to	406
medic 1 respond	403
on the phone	399
medic 3 medic	399
male valid no	397
comes back to	395
1 medic 1	394
i don't know	393
10-4 thank you	392
is gonna be	390
in the city	389
this is a	384
2 engine 2	381
it's going to	377
dispatch for medic	374
can i get	374
be 10 8	369
is out of	366
can you run	354
are you guys	344
medic 2 medic	342
dispatch to medic	341
be out of	340
the area of	340
2 medic 2	338
3 is out	337
can you give	333
in the parking	332
be out at	329
be all set	326
it's gonna be	322
out of fairview	322
can you start	315
back to the	314
you can show	313
do you have	313
you can copy	312
3 is en	312
we're all set	312
2 engine 3	310
you give me	306
i'll be 10	306
it looks like	304
dispatch medic 3's	302
you want to	300
side of the	299
engine 3 medic	299
you can just	298
can you get	292
you have a	292
station 1 copies	286
you respond to	286
we have a	284
be in service	284
we'll be out	281
2 respond to	271
i'll be checking	268
in the back	266
if you want	264
3 is on	264
trying to get	262
go ahead and	261
when you can	260
be in the	259
i'll be with	259
you run a	254
route to fairview	253
black and brown	252
a white male	250
i'll get you	245
old female valid	244
female valid no	243
should be a	243
and i'll be	241
going to go	241
to medic 1	240
and date of	238
back to a	237
medic 2 respond	237
companies medic 3	237
with a separate	236
do you want	235
3 is in	235
you could just	234
name and date	232
to be a	231
don't know if	231
i got it	230
not sure if	230
of the building	229
can you just	226
from medic 1	226
go to the	225
take that for	225
old male he's	224
i have the	223
i'm sorry i'm	223
to go to	221
to be out	221
i'm on the	220
i don't need	220
there was a	218
brown and brown	215
companies medic 1	215
we're back in	215
can take that	213
out with a	213
be back in	212
for medic 1	212
car 2 is	211
you guys all	210
a report number	209
3 is back	209
a black male	209
to fire ground	209
guys all set	207
to be in	205
to the detail	205
i copy thank	204
out at the	204
can you have	203
11 i copy	203
can you send	203
if you guys	203
old female she's	202
engine 2 medic	202
in service returning	202
valid no 1	202
a little bit	200
said there's a	200
on the way	199
