fourgram	count
dispatch medic 3 is	538
is going to be	534
is back in service	485
i'll be out with	456
year old male valid	419
are you all set	415
old male valid no	375
in front of the	360
back in the city	353
it's going to be	352
medic 3 respond to	339
attention all companies medic	337
male valid no wants	328
dispatch from car 2	320
in the parking lot	318
we're going to be	316
3 is en route	311
car 2 engine 2	297
i'm going to be	296
dispatch medic 1 is	292
medic 1 respond to	289
be en route to	286
medic 3 medic 3	272
medic 1 medic 1	271
dispatch medic 2 is	269
3 medic 3 is	252
en route to fairview	243
can you give me	241
year old female valid	241
when you can copy	234
and date of birth	230
3 is on scene	229
can you run a	228
name and date of	228
year old male he's	220
old female valid no	217
you give me a	216
i don't know if	215
3 is in service	214
dispatch to medic 1	213
is en route to	213
medic 3 is out	211
if you want to	208
1 medic 1 is	205
if you could just	205
i copy thank you	204
dispatch from medic 1	204
going to be out	201
3 is back in	201
you guys all set	201
year old female she's	200
i'm sorry i'm sorry	199
female valid no wants	197
2 is en route	193
medic 1 medic 1's	190
sorry i'm sorry i'm	190
i'll be 10 8	190
be back in service	189
2 engine 3 medic	188
engine 2 engine 3	186
medic 3 is on	184
dispatch medic 3 medic	183
to medic 1 medic	182
the city in service	180
2 is back in	180
en route to the	179
i'll be all set	179
in the city in	174
medic 3 is en	173
going to be in	171
dispatch medic 1 medic	169
you can show me	168
i'll be out at	168
medic 3 is back	168
going to be a	166
date of birth is	165
dispatch from medic 3	165
medic 2 respond to	164
are you guys all	164
2 engine 2 engine	163
10-8 10-8 10-8 10-8	161
all companies medic 3	159
engine 2 medic 2	158
medic 2 medic 2	158
all set i'll be	156
all companies medic 1	156
medic 1 medic one's	156
brown valid no wants	155
3 is out of	154
can i get a	154
10-8 with a separate	152
i can take that	151
i'm 10-8 i'm 10-8	151
we're back in service	149
dispatch for medic 1	149
thank you thank you	147
comes back to a	147
engine 3 medic 1	147
out of the pickup	147
old male he's valid	147
1 is back in	146
is out of fairview	145
i'm going to go	145
medic 3 is in	145
10-8 i'm 10-8 i'm	145
en route to lakewood	144
1 is en route	143
medic 3 en route	141
i can get him	140
i'll be out of	140
2 medic 2 is	139
can you put me	138
i'll be en route	137
he's valid no wants	137
dispatch from medic 2	136
medic 1 is back	134
can you see if	134
can you respond to	134
give me a call	133
old female she's valid	133
medic 3's en route	133
medic 1 medic 2	131
she's valid no wants	130
medic 2 is back	130
public service call at	129
can i get the	127
go ahead go ahead	125
medic one's en route	125
to go to the	124
medic 1's en route	124
medic 1 is en	124
bye bye bye bye	124
be out of the	123
give me a 21	121
set i'll be 10-8	121
male he's valid no	121
be 10-8 with a	119
we'll be en route	119
you want me to	119
could you respond to	119
female she's valid no	116
dispatch for medic 2	115
be out with a	115
in the area of	115
can take that for	115
medic 3 medic 3's	114
for medic 1 medic	114
valid no wants 10-4	114
from medic 1 medic	112
in the middle of	111
a public service call	111
if you guys could	110
2 2 2 2	110
are you able to	109
to make contact with	109
companies medic 3 respond	109
no no no no	109
yeah yeah yeah yeah	109
70 70 70 70	109
the owner of the	108
do you have a	108
all companies car 2	107
i'm not sure if	107
ahead go ahead go	107
1 respond to the	107
3 medic 1 medic	106
engine 3 is en	106
truck 1 respond to	106
has a valid id	105
dispatch from engine 3	105
companies medic 1 respond	105
get a hold of	104
and i'm going to	104
medic 1 en route	104
car 2 engine 3	103
medic 3 is transporting	103
engine 3 medic 3	103
2 is on scene	103
be added to the	101
medic 3's on scene	101
engine 3 is out	101
dispatch for medic 3	101
all companies medic 2	100
i'll be 10-8 with	98
will be en route	98
the middle of the	98
medic 2 is en	98
you thank you thank	96
you can go ahead	95
see if you can	95
i'll be in the	94
to be in service	94
truck 1 medic 1	94
2 and truck 1	93
is back in the	93
back to the city	93
can you show me	92
here in a second	92
3's back in service	92
check in front of	92
2 is in service	92
plate in a second	91
medic 1 is transporting	91
dispatch to medic 3	91
medic 2 en route	91
dispatch from car 10	90
to be back in	89
answer at the door	89
for medic 2 medic	88
i'll let you know	88
medic 2 medic 3	88
3 respond to the	88
i don't need it	88
attention all companies car	88
i'll be 19 with	87
like to speak to	87
going to be on	87
don't need it back	87
no answer at the	87
side of the street	86
i sent you a	86
companies car 2 engine	85
going to be back	85
can you check on	85
i'll be out on	85
you put me on	85
would like to speak	84
i'll be out in	84
and brown valid no	84
i be added to	83
car 2 truck 1	83
to the area of	83
medic 2 medic 2's	82
medic 3's back in	82
can you send me	81
are back in service	81
can you check the	80
year old female having	80
switching to fire ground	80
on the back hill	80
medic 1 is out	80
not driving due to	80
for a 2-car mva	79
from medic 2 medic	79
out we'll be investigating	79
medic one's on scene	79
a report number for	78
we checked the area	78
dispatch from truck 1	78
i'll be with him	77
to medic 3 medic	77
be out at the	77
parked in front of	77
