bigram	count
go ahead	7037
can you	6058
i copy	5931
in the	5742
i'll be	5504
on the	4970
medic 3	4816
to the	4764
medic 1	4617
you can	4604
going to	4581
out of	4521
year old	4255
thank you	4051
of the	3904
for a	3857
in service	3493
en route	3368
dispatch medic	3357
we'll be	3069
medic 2	2995
to be	2835
be 10-8	2783
all set	2732
if you	2542
car 2	2371
at the	2342
respond to	2293
be out	2275
back in	2263
old male	2233
on scene	2063
have a	2033
engine 3	2027
i'm sorry	1991
3 is	1867
in a	1861
truck 1	1754
this is	1747
no wants	1747
old female	1738
valid no	1731
gonna be	1722
on a	1704
with a	1693
for the	1689
engine 2	1646
dispatch from	1579
are you	1569
you guys	1561
will be	1534
i have	1520
there's a	1518
front of	1506
back to	1498
i can	1462
with the	1429
from the	1359
in front	1315
the area	1276
2 is	1222
do you	1207
can go	1195
to get	1153
a male	1153
i'm out	1151
route to	1147
i'm going	1125
should be	1054
out with	1024
it was	1022
he was	997
a female	988
looks like	978
and the	975
i got	975
i don't	960
a black	950
1 medic	950
you have	949
be in	932
1 is	932
could you	927
all companies	921
can i	921
the vehicle	913
is a	912
parking lot	911
she said	911
trying to	907
we have	900
out at	896
you could	894
a white	887
i'm closer	885
it's a	880
10 8	851
station 1	844
see if	838
to fairview	822
able to	814
is on	813
is out	812
as well	810
said that	804
has a	792
be a	788
he said	775
of birth	770
3 medic	765
is going	764
the back	763
date of	763
we're going	759
got a	753
24 i'm	753
you check	750
to go	750
right now	749
a second	735
to a	734
is en	728
the male	714
2 engine	712
of cleveland	709
is in	703
there's no	701
detroit and	697
the owner	688
have the	686
get a	685
you want	671
i'll get	669
is back	667
go to	663
copy thank	660
she was	660
i'm on	660
to lakewood	656
give me	647
want to	647
the city	644
can disregard	641
can get	631
we're 10-8	629
be 10	629
the car	622
they were	620
that male	618
be on	615
medic 1's	614
me a	610
1 respond	607
2 medic	606
medic 3's	605
was a	604
from car	602
and i	599
i think	598
companies medic	597
said he	593
i'm 10-8	590
the phone	582
the building	581
the street	578
from medic	577
3 respond	572
i'm gonna	567
and a	566
the parking	565
you get	565
dispatch to	564
attention all	564
a call	563
medic one's	560
the front	554
that was	548
there was	545
with king	545
with him	540
that vehicle	540
for medic	536
i'm all	534
last name	533
and then	532
the other	529
got it	526
clifton and	523
is gonna	521
south of	520
copy that	510
be en	509
when you	509
i just	507
did you	505
check on	505
you copy	505
and brown	503
get him	502
we can	499
you all	499
the door	499
i'm not	497
the last	497
know if	496
take that	495
a couple	491
i get	489
for that	482
try to	480
no 1	480
the female	479
not sure	473
comes back	472
with that	471
you just	471
and i'll	470
by the	470
the complainant	469
a vehicle	469
over to	467
had a	466
out on	465
dispatch for	460
they said	460
you run	456
i was	450
don't know	450
on it	449
sounds like	449
on that	448
check the	448
male valid	447
side of	444
white male	444
north of	442
first name	441
madison and	441
up to	441
2 and	440
and he	438
apartment number	438
a little	437
the station	436
that he	435
complainant said	431
you give	429
head to	428
he has	427
report number	426
black male	426
with her	424
1 to	421
to that	420
wearing a	420
name is	420
said she	418
and 2	417
with john	416
brown and	415
spoke with	415
lakewood heights	413
the plate	412
was advised	410
to medic	410
stand by	408
it's going	401
2 respond	401
you need	400
is the	400
1 copies	400
and she	400
you start	398
be all	398
we're all	398
the house	397
for an	397
spoke to	396
to call	393
car 2's	393
we're gonna	393
10-4 thank	392
you know	389
into the	389
be checking	389
area of	388
show me	385
one of	384
to you	383
you a	383
be at	380
unable to	377
i'm in	376
station 3	373
3 to	373
the jail	371
it to	370
up here	370
number for	369
that female	362
black and	362
of a	360
with this	358
it's gonna	357
to make	357
2 copies	356
for you	355
the address	354
that the	354
can just	352
to speak	352
the westerly	352
get the	350
speak to	349
the driveway	348
is that	348
speak with	348
get you	347
117th and	347
a report	344
you respond	344
they have	342
20 9	341
to check	340
phone number	340
up there	340
medic 2's	339
be with	338
she has	337
of fairview	337
can copy	336
1 copy	336
2 0	335
a minute	334
the way	334
can show	334
that she	334
the caller	331
was just	330
just a	330
at lakewood	328
for me	328
male is	328
i didn't	326
be 19	325
this male	325
of that	325
west clifton	325
on detroit	323
on his	323
of them	322
is not	322
you see	320
on her	320
valid id	318
a few	317
the detail	316
it looks	316
all the	315
come back	315
with them	315
me to	315
19 with	314
to come	314
vehicle is	313
sorry i'm	312
station 2	311
there is	310
a separate	309
have to	309
the apartment	309
that for	308
said there's	307
3 copies	305
kind of	305
to have	304
and they	303
make sure	303
you go	303
me out	302
to see	302
to her	302
at a	302
to leave	299
15 i	299
was the	299
he is	298
need to	298
be back	297
to find	297
13 i'm	296
in detroit	295
run a	295
code 3	295
standing by	295
said he's	295
id card	295
that they	294
is transporting	294
you said	294
of her	292
that call	292
we got	292
and i'm	291
can take	290
25 25	290
male he's	290
2 from	289
in his	289
put me	288
name and	287
i believe	286
a blue	286
could just	286
1 17	286
he's not	285
the list	285
that way	285
the tracks	285
detroit apartment	285
he's valid	284
1 of	283
of madison	282
might be	282
and madison	281
and see	281
parked in	281
male in	281
11 i	280
a plate	280
from engine	280
him to	278
is there	277
female valid	277
here in	277
don't need	277
detroit the	277
detroit for	275
list please	274
years old	274
around the	273
ahead and	273
let me	273
of lakewood	272
are out	272
we copy	271
out in	270
a car	270
has been	270
in her	269
have any	268
3 copy	268
of detroit	267
we're in	267
we are	267
talk to	266
a gray	266
female she's	263
like a	263
owner of	262
10-8 10-4	262
for now	261
fire ground	261
she's valid	260
what's the	260
24 24	259
would like	259
it's not	258
you send	258
said they	258
me on	256
coming from	256
2 to	256
sure if	256
a red	255
the road	254
i added	254
i'm at	253
at this	253
we're out	253
checks okay	252
did not	252
at fairview	251
the west	251
copy from	251
they're all	250
me the	249
like to	249
contact with	249
does not	249
off the	248
3 and	248
we spoke	248
on 4	248
station wagon	247
we're back	247
the property	246
send me	245
and he's	245
for this	245
said the	245
do we	244
having a	243
if they	243
us to	242
and date	242
19 to	242
the same	241
brown valid	241
warren and	240
over there	239
to respond	239
the pickup	239
the lobby	238
male that	238
coming back	237
transporting to	236
checked the	236
she's not	236
and is	236
3 we're	236
on arrival	235
i'll have	235
just add	234
a squad	234
i'm just	233
no answer	233
1 and	233
can head	232
i see	232
out and	232
we're on	232
go on	232
over here	232
the scene	232
29 i	232
if i	231
to fire	231
pick up	230
stall door	230
the hospital	230
and said	230
wants to	230
got the	229
and franklin	228
male wearing	228
be advised	227
be investigating	227
responding to	227
a valid	226
the call	225
lakewood park	225
i'm fine	225
on clifton	225
female that	225
i need	224
that there's	224
and detroit	224
20 5	224
of it	223
like the	223
said it	223
i'm with	223
there for	223
you put	223
new york	223
failure to	222
it is	222
out there	221
lot of	220
on madison	220
we were	219
that address	219
the store	219
out to	217
clear from	217
up and	217
if there's	216
he just	216
guys all	216
and it's	216
if we	215
he's in	215
i had	215
on this	215
2 2	215
a silver	214
the resident	214
from dispatch	213
set here	213
the alarm	213
to him	212
back and	212
of his	212
service returning	212
10 7	212
be the	210
the first	210
i'll head	210
if he	210
need a	210
4 door	210
2 truck	209
this female	209
the corner	209
there and	209
head over	208
that's the	207
set i'll	207
back up	207
said it's	207
i can't	207
copy detroit	207
from station	207
and it	206
don't have	205
to do	205
if you're	205
call at	205
have that	205
in there	204
the truck	203
she is	203
19 i	203
to give	202
little bit	202
copy i'll	202
we checked	202
you in	202
and she's	202
a message	202
you're on	201
dispatch engine	201
car 10	201
fire alarm	200
back on	200
blocking the	200
city in	200
on 10	200
the park	199
the driver	199
10-8 i'm	199
call back	198
copy i'm	198
3's on	198
just south	198
that's a	198
you repeat	197
have an	197
a phone	197
1 2	197
female is	196
i sent	196
it's the	196
they're going	196
car is	196
10-8 with	195
i'm trying	195
female in	195
edgewater apartment	195
that a	195
thanks for	195
he's a	194
10-8 from	194
up the	194
that is	194
29 i'm	193
no one	193
you add	193
what was	193
franklin and	193
down the	193
lunch list	192
be clear	192
i guess	192
male and	192
no one's	191
let you	191
go back	191
she just	191
just north	191
get them	191
advised that	190
it back	190
29 copy	190
west of	190
from here	189
15 i'm	189
with henry	188
male was	188
you head	188
a lot	188
refusing to	187
he's going	187
i'll take	187
the stall	187
the second	187
the light	187
about a	186
and clifton	186
15 traffic	186
have it	186
myself and	185
in that	185
number 1	185
sorry i	184
looking for	184
up on	184
just got	184
20 2	184
copy and	183
sent you	183
on my	183
i'm 10-7	183
3 en	183
and medic	183
west 117	182
an officer	181
for him	181
don't see	180
her to	180
of this	180
to my	180
to take	180
talking to	179
it out	179
to this	179
my driver	179
and truck	179
them to	179
heading to	179
the report	179
14306 detroit	179
10-8 10-8	179
10 16	179
the fire	178
going off	178
over the	178
was no	178
east of	178
lake and	178
2 copy	178
through the	178
with you	178
i've got	178
rocky river	178
starting mileage	177
said she's	177
by a	177
14312 detroit	177
out the	177
there's nothing	177
added to	176
check for	176
and you	176
give you	176
the sidewalk	176
i will	176
his way	176
birth is	176
you call	176
just to	175
copy thanks	175
advised of	175
close to	175
there are	175
a number	175
one's en	175
you try	174
saying that	174
so i	174
29 traffic	174
are going	174
and they're	174
1 0	174
you wanna	174
to appear	173
can we	173
1 we're	173
11 traffic	173
229 and	173
19 for	173
it's on	173
break for	172
a moment	172
12 i'm	172
i spoke	172
is it	171
another car	171
going on	171
madison for	171
a 21	171
make contact	171
king victor	171
it sounds	171
due to	170
you thank	170
at that	170
add it	170
him and	169
17 i	169
a note	169
can start	169
her and	169
king frank	169
from a	168
west 117th	168
you show	168
the east	168
vehicle was	168
was in	168
if it's	167
brown brown	167
him in	167
yeah i	167
have been	167
15 i'll	167
for her	167
he's on	167
male he	166
3's en	166
this time	166
24 i	166
me back	166
that he's	166
white female	166
companies car	165
10-8 and	165
couple of	165
gonna have	165
route from	165
get it	164
and that	164
front door	164
all right	164
a hold	164
2 can	164
copy you	163
be there	163
we're en	163
1 i	163
on him	162
2 on	162
and car	162
and we'll	162
like it's	162
is all	162
mileage is	162
19 traffic	162
you to	161
1's en	161
here and	161
10 4	161
male with	160
in and	160
the squad	160
and if	160
it's just	160
call the	160
they can	160
2's en	160
service patient	160
start a	160
to move	160
said her	160
kufner has	160
king edward	160
a fire	160
19 i'm	160
i found	159
to head	159
and 229	159
eastbound on	159
across the	159
public service	159
madison apartment	159
not have	158
it in	158
were advised	158
11 i'll	158
it should	158
to try	157
in color	157
but he	157
19 and	157
find a	157
female said	157
and just	157
the upstairs	157
if he's	156
they just	156
get in	156
want me	156
see you	155
lakewood er	155
2's on	155
to an	155
everything checks	155
number 2	155
one's on	155
of you	154
that i	154
the complaint	154
check in	154
she's in	154
to meet	154
and there's	154
but she	153
id no	153
and blue	153
head there	153
2 will	153
back hill	153
down to	153
and her	153
call from	152
come out	152
we get	152
down here	152
2's out	152
bunts and	152
detroit room	152
king ida	152
is valid	152
the middle	152
the 1	152
you say	151
real quick	151
2 are	151
the north	151
i'm close	151
has an	151
1 en	151
1 1	151
it up	150
didn't see	150
3's out	150
this was	150
from detroit	150
was on	150
service call	150
start heading	150
wants 10-4	150
like it	149
bye bye	149
a dl	149
when you're	148
to stop	148
2 20	148
back door	147
the side	147
you able	147
coming in	147
king union	147
black brown	147
king henry	147
last night	147
there in	147
1 in	147
male on	147
supposed to	146
are in	146
11 i'm	146
i'm a	146
1 will	146
detroit number	146
to his	146
be transporting	146
not a	146
17 i'm	145
be able	145
we just	145
to me	145
hold of	145
be coming	145
the south	144
you still	144
1's on	144
just want	144
transporting a	144
to madison	144
1 from	144
car 8	144
he's got	143
one's out	143
that car	143
and we're	143
the dog	143
to service	143
st charles	143
welfare check	143
10-7 at	143
i checked	143
10-4 and	143
it and	143
2 1	143
still on	142
an hour	142
out here	142
here for	142
1's out	142
my car	142
i'm set	142
need it	142
called back	142
3 i	142
1 on	141
at all	141
the downstairs	141
11 and	141
there's an	141
set up	141
license plate	141
17 i'll	141
and we	141
just called	140
dispatch medical	140
with an	140
and engine	140
king king	140
has that	140
registered owner	140
on their	140
and 215	140
we've got	140
the backyard	140
prior to	139
is still	139
the name	139
lift assist	139
number and	139
can find	139
with us	139
added notes	139
plate is	139
female with	138
near the	138
13 i	138
i do	138
you please	138
female she	138
15 can	138
i know	138
to your	138
of those	138
behind the	138
12400 madison	138
so you	138
you the	137
that are	137
to pick	137
in route	137
he's gonna	137
ending mileage	137
and beale	136
2-car mva	136
and his	136
i be	136
2 en	136
or not	136
parked on	136
didn't know	136
a verbal	136
advised to	136
they are	136
down there	136
0 3	136
but i	135
i'll let	135
like he	135
3 truck	135
verbal argument	135
me know	135
with his	135
call for	135
front counter	135
meet you	135
is no	135
tell me	135
days inn	135
they're gonna	135
do a	134
was not	134
13 traffic	134
in for	134
detroit in	134
so there's	134
minutes ago	134
the bus	134
29 i'll	134
ahead go	134
and get	134
when i	134
i'm checking	134
female to	134
0 4	134
truck one's	134
came out	133
the one	133
i go	133
just be	133
madison the	133
last 6	133
can hear	133
the right	133
guys could	133
king george	133
from truck	133
black female	133
john victor	133
see anything	133
madison park	133
2 car	133
in apartment	132
right here	132
would you	132
has it	132
driver's license	132
that you	131
for us	131
he doesn't	131
number is	131
as a	131
the lakewood	131
he had	131
from that	131
engine 3's	131
fell and	131
the mail	131
alarm company	131
12 i	131
25 24	130
24 25	130
at madison	130
lakeshore towers	130
arriving at	130
get her	130
i did	130
that her	130
talked to	129
that we	129
okay we'll	129
and berea	129
under arrest	129
29 and	129
to talk	129
he's been	129
i'm coming	129
